id,character,dialogue,movie,race,is_evil
85,Bilbo,    I think I'm quite ready for another adventure. ,The Return of the King ,hobbit,false
1617,Soldiers,Its Mithrandir! The White Rider! ,The Return of the King ,human,false
1120,Faramir,Your bodyguard?,The Two Towers ,human,false
225,Gollum,Orcses' filth. Orcses come in here sometimes. ,The Return of the King ,hobbit,false
362,Aragorn,Saruman.,The Two Towers ,human,false
1258,Frodo,  Sam!    ,The Return of the King ,hobbit,false
30,Sam,Here.,The Return of the King ,hobbit,false
401,Aragorn, Haldir,The Fellowship of the Ring ,human,false
915,Eowyn,I can fight.,The Two Towers ,human,false
984,Sam,Wait! We're innocent travelers!,The Two Towers ,hobbit,false
1041,Faramir,"Cirith Ungol?,    ",The Two Towers ,human,false
1418,Sam,You never know.,The Two Towers ,hobbit,false
1466,Rohirrim,"Make way! ( ,We cannot hold much longer!      ",The Two Towers ,human,false
1467,Rohirrim,Fall back! Fall back!      ,The Two Towers ,human,false
1548,Saruman,We have work to do,The Fellowship of the Ring ,maiar,false
1743,Frodo,Sam!,The Two Towers ,hobbit,false
1904,Pippin,Merry!Merry!,The Two Towers ,hobbit,false
1990,Frodo,"Oh no you dont , Go on    ",The Fellowship of the Ring ,hobbit,false
2176,Pippin,Why are they still guarding it? ,The Return of the King ,hobbit,false
2309,Legolas,He is here!,The Return of the King ,elf,false
86,Gandalf,"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.    ",The Return of the King ,maiar,false
87,Sam,    What does he mean? ,The Return of the King ,hobbit,false
88,Frodo,"    We set out to save the Shire Sam and it has been saved, but not for me. ",The Return of the King ,hobbit,false
89,Sam,"    , You don't mean that. You can't     leave.",The Return of the King ,hobbit,false
90,Frodo,    The last pages are for you Sam. ,The Return of the King ,hobbit,false
91,Saruman,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     Y",The Return of the King ,maiar,false
112,Aragorn,Brego! ,The Return of the King ,human,false
143,Sam,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!    ",The Return of the King ,hobbit,false
144,Gandalf,     Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat. ,The Return of the King ,maiar,false
145,Aragorn,"I am Isildur's heir. Fight for me and I will hold your oaths fulfilled.    ,What say you?    ",The Return of the King ,human,false
149,Frodo,    Go Sam.  Now!     ,The Return of the King ,hobbit,false
152,Frodo,  I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.        ,The Return of the King ,hobbit,false
153,Aragorn,"You have my word! Fight and I will release you from this living death!    , What say you? ",The Return of the King ,human,false
154,Gandalf,    Fight! Fight to the last man. Fight for your lives. ,The Return of the King ,maiar,false
